contrast,estimate,SE,df,z.ratio,p.value
CRF - FWC,-0.07848421356424475,0.6080741601544805,Inf,-0.12907013438016496,0.9999376101336271
CRF - MML,-1.0495217003872803,0.30435153952791433,Inf,-3.4483863693123227,0.005112810503493437
CRF - RR,-0.3861937162801615,0.338634943195126,Inf,-1.1404426035786612,0.7849964244957918
CRF - UM,-0.8495524316898014,0.6272747869972553,Inf,-1.3543545018867764,0.6569851208451839
FWC - MML,-0.9710374868230356,0.6346227144228372,Inf,-1.5301020035284325,0.5427605575513901
FWC - RR,-0.3077095027159168,0.6523308316846167,Inf,-0.471707740566654,0.9898807265375271
FWC - UM,-0.7710682181255567,0.8389890013355293,Inf,-0.9190444891388871,0.8896814721522884
MML - RR,0.6633279841071188,0.38188135329330014,Inf,1.737000192302284,0.41111086344804026
MML - UM,0.19996926869747889,0.6464019653051652,Inf,0.3093574577903298,0.998015278019145
RR - UM,-0.4633587154096399,0.6685980836246108,Inf,-0.6930302774690512,0.9580658672572975
