contrast,STRATA,estimate,SE,df,z.ratio,p.value
(Martin/Palm Beach) - (Broward-Miami),Inshore,-0.9625049992885584,1.0140044326333697,Inf,-0.9492118262135528,0.933561705306172
(Martin/Palm Beach) - Biscayne,Inshore,-2.800004169355778,1.014004432633045,Inf,-2.7613332636870855,0.06383253457336358
(Martin/Palm Beach) - Upper Keys,Inshore,-5.412502606066948,1.014004432632394,Inf,-5.337750439626665,1.4032109036943297e-6
(Martin/Palm Beach) - Middle Keys,Inshore,-8.575000544544885,1.0140044326323137,Inf,-8.456571064767969,5.917488721252084e-14
(Martin/Palm Beach) - Lower Keys,Inshore,-3.3125035635821516,1.0140044326329114,Inf,-3.266754519978849,0.01387727573231079
(Broward-Miami) - Biscayne,Inshore,-1.8374991700672194,1.0140044326323623,Inf,-1.812121437474449,0.4578002784803663
(Broward-Miami) - Upper Keys,Inshore,-4.449997606778389,1.014004432632504,Inf,-4.388538613411722,1.6580927391240952e-4
(Broward-Miami) - Middle Keys,Inshore,-7.612495545256326,1.0140044326330504,Inf,-7.507359238547973,9.431344594190705e-13
(Broward-Miami) - Lower Keys,Inshore,-2.3499985642935934,1.0140044326324775,Inf,-2.317542693765859,0.18684373599486537
Biscayne - Upper Keys,Inshore,-2.61249843671117,1.014004432632357,Inf,-2.5764171759379,0.1030449352318189
Biscayne - Middle Keys,Inshore,-5.774996375189107,1.0140044326327629,Inf,-5.6952378010763685,1.8425691317158766e-7
Biscayne - Lower Keys,Inshore,-0.5124993942263738,1.0140044326323958,Inf,-0.5054212562916565,0.9959878127963587
Upper Keys - Middle Keys,Inshore,-3.1624979384779373,1.0140044326323319,Inf,-3.1188206251408253,0.02239510607013373
Upper Keys - Lower Keys,Inshore,2.099999042484796,1.014004432632353,Inf,2.0709959196462324,0.30256120104677353
Middle Keys - Lower Keys,Inshore,5.262496980962734,1.0140044326326563,Inf,5.189816544785441,3.1327075924458825e-6
(Martin/Palm Beach) - (Broward-Miami),Offshore,-1.9749973572440724,1.0140044326326927,Inf,-1.9477206348263416,0.3729289683546544
(Martin/Palm Beach) - Biscayne,Offshore,-1.4749988139422068,1.014004432632459,Inf,-1.4546275799928794,0.6932759883751483
(Martin/Palm Beach) - Upper Keys,Offshore,-1.9874988369634803,1.0140044326324995,Inf,-1.9600494563950288,0.36556524549617464
(Martin/Palm Beach) - Middle Keys,Offshore,-0.812500686634765,1.0140044326325282,Inf,-0.8012792256986243,0.9673667316184739
(Martin/Palm Beach) - Lower Keys,Offshore,-0.6624994001464732,1.0140044326324693,Inf,-0.6533496095540238,0.9868033747538936
(Broward-Miami) - Biscayne,Offshore,0.49999854330186566,1.0140044326325015,Inf,0.4930930548338901,0.9964299296705081
(Broward-Miami) - Upper Keys,Offshore,-0.012501479719407627,1.014004432632538,Inf,-0.01232882156831557,0.9999999999601499
(Broward-Miami) - Middle Keys,Offshore,1.1624966706093076,1.0140044326328963,Inf,1.1464414091276172,0.8618718931741391
(Broward-Miami) - Lower Keys,Offshore,1.312497957097599,1.0140044326325948,Inf,1.2943710252725864,0.7883127450948406
Biscayne - Upper Keys,Offshore,-0.5125000230212735,1.0140044326324207,Inf,-0.5054218764022466,0.9959877895556126
Biscayne - Middle Keys,Offshore,0.6624981273074422,1.0140044326325577,Inf,0.6533483542941375,0.9868034898555633
Biscayne - Lower Keys,Offshore,0.8124994137957335,1.0140044326324098,Inf,0.801277970438888,0.967366952383011
Upper Keys - Middle Keys,Offshore,1.1749981503287152,1.0140044326325874,Inf,1.1587702306962813,0.8563577922846227
Upper Keys - Lower Keys,Offshore,1.324999436817007,1.0140044326324422,Inf,1.3066998468410984,0.7815029208771396
Middle Keys - Lower Keys,Offshore,0.15000128648829225,1.0140044326324904,Inf,0.14792961614464442,0.9999902005714341
