contrast,ratio,SE,df,null,z.ratio,p.value
Region1 / Region2,0.6758720750733469,0.16347992382244056,Inf,1,-1.6196109299030759,0.5854610193301194
Region1 / Region3,0.16279675176521677,0.03756148481705853,Inf,1,-7.867560542844031,1.4144241333724494e-13
Region1 / Region4,0.16069404518066358,0.03705935746243518,Inf,1,-7.927535724636653,1.1823875212257917e-13
Region1 / Region5,0.18859144730768154,0.04355391676980069,Inf,1,-7.223300310312447,7.652212197228891e-12
Region1 / Region6,0.30447253575961514,0.07054822779312998,Inf,1,-5.132247165475388,4.257003272334359e-6
Region2 / Region3,0.2408691789012732,0.038889608090458695,Inf,1,-8.816689360238497,4.596323321948148e-14
Region2 / Region4,0.23775807746343827,0.03834381975271503,Inf,1,-8.907298796251549,4.196643033083092e-14
Region2 / Region5,0.2790342348250077,0.045120320058816984,Inf,1,-7.89367408213176,1.305622276959184e-13
Region2 / Region6,0.45048840895900777,0.07336591686917121,Inf,1,-4.896412435490518,1.4444530035739866e-5
Region3 / Region4,0.9870838541816506,0.14163194902876472,Inf,1,-0.09060364579429957,0.9999991489614232
Region3 / Region5,1.1584472372008106,0.16674578853388913,Inf,1,1.0218250385382552,0.9108175721763621
Region3 / Region6,1.8702617371550585,0.2717076438177887,Inf,1,4.309523413044402,2.3670147096033212e-4
Region4 / Region5,1.173605699549437,0.1686635099859885,Inf,1,1.1138849436518496,0.8758602828805899
Region4 / Region6,1.8947344029911353,0.27486011691170964,Inf,1,4.4054567087472805,1.5351267738916707e-4
Region5 / Region6,1.6144556930138882,0.2349397430713057,Inf,1,3.291570954761281,0.012774480312036096
