"contrast","STRATA","estimate","SE","df","z.ratio","p.value"
"Region1 - Region2","Inshore",-6.39711309286913,0.692992372833638,Inf,-9.23114502214707,6.70574706873595e-14
"Region1 - Region3","Inshore",-5.08236235648689,0.554709110581857,Inf,-9.16221179629769,7.16093850883226e-14
"Region1 - Region4","Inshore",-4.0673148603011,0.505606072598508,Inf,-8.04443435459066,9.02611319020252e-14
"Region1 - Region5","Inshore",-4.11450002633893,0.521821891073838,Inf,-7.88487431577823,1.33781874467331e-13
"Region1 - Region6","Inshore",-2.72596986236483,0.482295647262104,Inf,-5.65207228769246,2.37024608162884e-07
"Region2 - Region3","Inshore",1.31475073638224,0.700479986518686,Inf,1.87692833726259,0.416427098374451
"Region2 - Region4","Inshore",2.32979823256803,0.668952739329199,Inf,3.48275460371725,0.00659103490969748
"Region2 - Region5","Inshore",2.2826130665302,0.673707217667549,Inf,3.38813806156458,0.00919303918272962
"Region2 - Region6","Inshore",3.6711432305043,0.655859398790036,Inf,5.59745463322934,3.25114836829954e-07
"Region3 - Region4","Inshore",1.01504749618579,0.522348747360229,Inf,1.94323715968593,0.37562333196542
"Region3 - Region5","Inshore",0.967862330147958,0.52545809353385,Inf,1.84194009390705,0.438603591479892
"Region3 - Region6","Inshore",2.35639249412206,0.506425261963039,Inf,4.6529916082544,4.8075209249876e-05
"Region4 - Region5","Inshore",-0.0471851660378366,0.486052633964295,Inf,-0.0970783053946021,0.999998799011635
"Region4 - Region6","Inshore",1.34134499793626,0.455446099191719,Inf,2.94512347414271,0.0379920617812206
"Region5 - Region6","Inshore",1.3885301639741,0.469702776723675,Inf,2.956188962006,0.0367743401598883
"Region1 - Region2","Offshore",-6.39711309286913,0.692992372833638,Inf,-9.23114502214707,6.70574706873595e-14
"Region1 - Region3","Offshore",-5.08236235648689,0.554709110581857,Inf,-9.16221179629769,7.16093850883226e-14
"Region1 - Region4","Offshore",-4.0673148603011,0.505606072598508,Inf,-8.04443435459066,9.02611319020252e-14
"Region1 - Region5","Offshore",-4.11450002633893,0.521821891073838,Inf,-7.88487431577823,1.33781874467331e-13
"Region1 - Region6","Offshore",-2.72596986236483,0.482295647262104,Inf,-5.65207228769246,2.37024608162884e-07
"Region2 - Region3","Offshore",1.31475073638224,0.700479986518686,Inf,1.87692833726259,0.416427098374451
"Region2 - Region4","Offshore",2.32979823256803,0.668952739329199,Inf,3.48275460371725,0.00659103490969748
"Region2 - Region5","Offshore",2.2826130665302,0.673707217667549,Inf,3.38813806156458,0.00919303918272962
"Region2 - Region6","Offshore",3.6711432305043,0.655859398790036,Inf,5.59745463322934,3.25114836829954e-07
"Region3 - Region4","Offshore",1.01504749618579,0.522348747360229,Inf,1.94323715968593,0.37562333196542
"Region3 - Region5","Offshore",0.967862330147958,0.52545809353385,Inf,1.84194009390705,0.438603591479892
"Region3 - Region6","Offshore",2.35639249412206,0.506425261963039,Inf,4.6529916082544,4.8075209249876e-05
"Region4 - Region5","Offshore",-0.0471851660378366,0.486052633964295,Inf,-0.0970783053946021,0.999998799011635
"Region4 - Region6","Offshore",1.34134499793626,0.455446099191719,Inf,2.94512347414271,0.0379920617812206
"Region5 - Region6","Offshore",1.3885301639741,0.469702776723675,Inf,2.956188962006,0.0367743401598883
