"contrast","Region","estimate","SE","df","z.ratio","p.value"
"M. cavernosa - O. faveolata","1",-0.935601612520992,0.793795045262973,Inf,-1.17864380497744,0.465940522831047
"M. cavernosa - P. clivosa","1",-0.498244518195536,0.905282554538562,Inf,-0.550374593763711,0.846286149728901
"O. faveolata - P. clivosa","1",0.437357094325457,0.610794055453209,Inf,0.716046743449293,0.753991168079852
"M. cavernosa - O. faveolata","2",-18.1819836376089,5146.69019752581,Inf,-0.00353275268955369,0.999993119250924
"M. cavernosa - P. clivosa","2",1.00504357515944,1.18770140073572,Inf,0.846208966779752,0.674220708332389
"O. faveolata - P. clivosa","2",19.1870272127684,5146.69013204271,Inf,0.00372803233155851,0.999992337536508
"M. cavernosa - O. faveolata","3",-0.373389216961064,0.66082379404689,Inf,-0.565035975285371,0.838700099174197
"M. cavernosa - P. clivosa","3",-1.01980019858584,0.911560088284793,Inf,-1.11874160759355,0.502461044527825
"O. faveolata - P. clivosa","3",-0.646410981624781,0.821909163497296,Inf,-0.786474966253259,0.711358889271695
"M. cavernosa - O. faveolata","4",0.44849625013053,0.600221933649579,Inf,0.747217362423765,0.735308711021812
"M. cavernosa - P. clivosa","4",1.07679902425153,0.649692837968557,Inf,1.65739709801702,0.221796587736992
"O. faveolata - P. clivosa","4",0.628302774121,0.448812396124386,Inf,1.39992295120759,0.340915400593235
"M. cavernosa - O. faveolata","5",-0.195510877149432,0.491590867204332,Inf,-0.397710556059144,0.916515196937404
"M. cavernosa - P. clivosa","5",-0.69618694258287,0.620665492596149,Inf,-1.12167818396158,0.500651181969586
"O. faveolata - P. clivosa","5",-0.500676065433438,0.535344219994821,Inf,-0.935241376918726,0.617946925355618
"M. cavernosa - O. faveolata","6",0.410580208240467,0.409590134420052,Inf,1.00241723063427,0.575316016379996
"M. cavernosa - P. clivosa","6",1.07794136730333,0.481859716140575,Inf,2.2370439594682,0.0651059102350667
"O. faveolata - P. clivosa","6",0.667361159062867,0.375891499918967,Inf,1.77540901884383,0.177867341716593
