"contrast","Region_Site","estimate","SE","df","z.ratio","p.value"
"M. cavernosa - O. faveolata","1_1",2.34954355673458,50.043135346575,Inf,0.046950366727879,0.998785429202273
"M. cavernosa - P. clivosa","1_1",-0.575595826092955,9776.96225309752,Inf,-5.88726652709124e-05,0.999999998089099
"O. faveolata - P. clivosa","1_1",-2.92513938282754,9776.83425179863,Inf,-0.000299190853346972,0.999999950647703
"M. cavernosa - O. faveolata","1_2",3.31521493786476,951.552031997116,Inf,0.00348400804831112,0.999993307820373
"M. cavernosa - P. clivosa","1_2",2.48873159100785,951.551696429654,Inf,0.00261544548798126,0.999996228611479
"O. faveolata - P. clivosa","1_2",-0.826483346856909,0.479985088874574,Inf,-1.72189379631516,0.196953613916481
"M. cavernosa - O. faveolata","1_3",-2.29085491934489,32.5816679569766,Inf,-0.0703111615516406,0.997278157125898
"M. cavernosa - P. clivosa","1_3",1.09612543312942,0.628449303617174,Inf,1.74417479153917,0.188839982846242
"O. faveolata - P. clivosa","1_3",3.38698035247431,32.5923105359569,Inf,0.103919614681435,0.994063866149782
"M. cavernosa - O. faveolata","1_4",0.244217643266065,0.498266062098629,Inf,0.490135013886865,0.87600806258908
"M. cavernosa - P. clivosa","1_4",1.9353407857466,0.792258061609033,Inf,2.44281614732455,0.0387098445038996
"O. faveolata - P. clivosa","1_4",1.69112314248053,0.671695399234937,Inf,2.5176935027495,0.031690095617227
"M. cavernosa - O. faveolata","2_1",0.760549201827248,0.536038664534849,Inf,1.41883273007409,0.331121321732575
"M. cavernosa - P. clivosa","2_1",0.312370997415864,0.592898372951887,Inf,0.526854199077407,0.85817619377087
"O. faveolata - P. clivosa","2_1",-0.448178204411383,0.475789470504375,Inf,-0.941967471319359,0.613675833646345
"M. cavernosa - O. faveolata","2_2",-0.156454868838195,0.478390493577486,Inf,-0.327044268100311,0.942748533234585
"M. cavernosa - P. clivosa","2_2",-0.175669195058617,0.553356427200051,Inf,-0.317461199371067,0.945962836165356
"O. faveolata - P. clivosa","2_2",-0.0192143262204215,0.429820196289763,Inf,-0.044703172131698,0.998898850254898
"M. cavernosa - O. faveolata","2_3",0.188058214092638,0.484633390432075,Inf,0.388042214600556,0.920359475939818
"M. cavernosa - P. clivosa","2_3",0.251932873496565,0.556711466782021,Inf,0.45253760435872,0.893277443119871
"O. faveolata - P. clivosa","2_3",0.0638746594039268,0.435932083486929,Inf,0.146524336756787,0.988233618369346
"M. cavernosa - O. faveolata","2_4",-0.837478381045251,0.576132561452011,Inf,-1.45362098426546,0.313516954177984
"M. cavernosa - P. clivosa","2_4",-0.171265014966973,0.680450570162567,Inf,-0.25169354318574,0.965680915433709
"O. faveolata - P. clivosa","2_4",0.666213366078278,0.528290968065726,Inf,1.26107279198344,0.417323785841576
"M. cavernosa - O. faveolata","3_1",0.723179986537175,0.515441382816386,Inf,1.40303051063867,0.33929518247791
"M. cavernosa - P. clivosa","3_1",-0.125952642086521,0.56210645843237,Inf,-0.22407257592767,0.972701067054479
"O. faveolata - P. clivosa","3_1",-0.849132628623695,0.494899300688514,Inf,-1.7157684956159,0.19922615356088
"M. cavernosa - O. faveolata","3_2",-1.71823049212553,0.750306440011829,Inf,-2.29003831034482,0.0571870299992312
"M. cavernosa - P. clivosa","3_2",-0.859533844859885,0.638554425187295,Inf,-1.34606199715517,0.36964752549725
"O. faveolata - P. clivosa","3_2",0.858696647265643,0.572396516682694,Inf,1.50017797495029,0.290820109485674
"M. cavernosa - O. faveolata","3_3",0.36485278916231,231.033457689299,Inf,0.00157922057182287,0.999998625021082
"M. cavernosa - P. clivosa","3_3",1.98547771525539,230.740028858533,Inf,0.00860482563462229,0.999959178780849
"O. faveolata - P. clivosa","3_3",1.62062492609308,11.8293914887234,Inf,0.136999855625539,0.989705890914059
"M. cavernosa - O. faveolata","3_4",2.86622294992967,380.931923417203,Inf,0.00752423930296474,0.999968787459137
"M. cavernosa - P. clivosa","3_4",2.5546765508833,380.931686422977,Inf,0.00670639025824345,0.99997520392316
"O. faveolata - P. clivosa","3_4",-0.311546399046372,0.472823772617431,Inf,-0.658905954160746,0.787300799102323
"M. cavernosa - O. faveolata","4_1",1.72844962432948,176.584297822662,Inf,0.00978824077588884,0.999947178773152
"M. cavernosa - P. clivosa","4_1",2.04856629424899,176.585864685898,Inf,0.0116009641988778,0.999925803624206
"O. faveolata - P. clivosa","4_1",0.320116669919506,0.523296333435403,Inf,0.611731153967701,0.81370845539539
"M. cavernosa - O. faveolata","4_2",2.63595062363152,344.219087657889,Inf,0.00765777006024526,0.999967669805032
"M. cavernosa - P. clivosa","4_2",2.43476817815918,344.218895326429,Inf,0.0070733135548827,0.999972416425812
"O. faveolata - P. clivosa","4_2",-0.201182445472338,0.440342673740339,Inf,-0.456877012994137,0.891337721517619
"M. cavernosa - O. faveolata","4_3",-0.578101388552205,0.528922763073726,Inf,-1.0929788409799,0.518414020464742
"M. cavernosa - P. clivosa","4_3",0.314701563203116,0.602349893066113,Inf,0.522456410843215,0.860359801113094
"O. faveolata - P. clivosa","4_3",0.892802951755321,0.569936115545787,Inf,1.56649653777485,0.260249796526475
"M. cavernosa - O. faveolata","4_4",0.666962624170212,0.513994229454277,Inf,1.29760722192999,0.396497517793394
"M. cavernosa - P. clivosa","4_4",0.910785013809843,0.635407109006281,Inf,1.43338813950984,0.323689737616824
"O. faveolata - P. clivosa","4_4",0.243822389639631,0.531851639359413,Inf,0.458440609364863,0.890635304226058
"M. cavernosa - O. faveolata","5_1",1.74309590764558,216.906864808595,Inf,0.00803614910567142,0.999964395988193
"M. cavernosa - P. clivosa","5_1",2.41691848977788,216.909097738551,Inf,0.011142540884528,0.99993155145049
"O. faveolata - P. clivosa","5_1",0.6738225821323,0.556134161154659,Inf,1.21161875892194,0.446240585692022
"M. cavernosa - O. faveolata","5_2",2.68328073811695,318.380764241639,Inf,0.00842789841436664,0.999960840172479
"M. cavernosa - P. clivosa","5_2",3.09827602794456,318.381438125906,Inf,0.00973133373032672,0.999947791157607
"O. faveolata - P. clivosa","5_2",0.414995289827609,0.49191886357958,Inf,0.843625484917948,0.675840610436861
"M. cavernosa - O. faveolata","5_3",2.07003413905202,207.784289181618,Inf,0.00996241894517186,0.999945282230774
"M. cavernosa - P. clivosa","5_3",2.70319093160495,207.786103763083,Inf,0.0130094885204023,0.999906693740029
"O. faveolata - P. clivosa","5_3",0.633156792552926,0.51043699017728,Inf,1.24042106026255,0.429302312545631
"M. cavernosa - O. faveolata","5_4",2.36476158081286,274.597155454272,Inf,0.00861174827867675,0.999959113073854
"M. cavernosa - P. clivosa","5_4",2.11593264885755,274.596769287444,Inf,0.00770559921133896,0.999967264692517
"O. faveolata - P. clivosa","5_4",-0.248828931955303,0.478338563557202,Inf,-0.520194169804891,0.861478089918173
"M. cavernosa - O. faveolata","6_1",0.312707255753117,0.490317906943706,Inf,0.637764298070027,0.799269138134315
"M. cavernosa - P. clivosa","6_1",0.509168246259148,0.626598293395082,Inf,0.812591179430659,0.695210168946808
"O. faveolata - P. clivosa","6_1",0.196460990506031,0.506575945977747,Inf,0.387821395914959,0.920446358855241
"M. cavernosa - O. faveolata","6_2",0.273494261921794,0.499557405866784,Inf,0.547473140643873,0.847771798760492
"M. cavernosa - P. clivosa","6_2",0.889620660574059,0.672476488166824,Inf,1.32290225194218,0.382367069900733
"O. faveolata - P. clivosa","6_2",0.616126398652264,0.567226057878017,Inf,1.08620961624574,0.522626558976818
"M. cavernosa - O. faveolata","6_3",2.20726904887395,298.03538776621,Inf,0.0074060636403534,0.999969760192863
"M. cavernosa - P. clivosa","6_3",3.13005107824206,298.036928666065,Inf,0.0105022256545568,0.999939192081178
"O. faveolata - P. clivosa","6_3",0.92278202936811,0.516430093473349,Inf,1.7868479026111,0.173965198874198
"M. cavernosa - O. faveolata","6_4",0.282554274728566,0.485629354155413,Inf,0.5818311276096,0.829852748257285
"M. cavernosa - P. clivosa","6_4",-0.125379748510128,0.562069357162619,Inf,-0.223068108788313,0.972941909014294
"O. faveolata - P. clivosa","6_4",-0.407934023238694,0.458511871954994,Inf,-0.889691299593515,0.646823449929391
